rank,original_index,final_score,match_score,diversity_score,is_ground_truth,temperature,humidity,pressure
466,16827,1.0,1.0,0.33994031723171153,True,16.08888889,0.66,1015.23
467,76213,1.0,1.0,0.7052798452381699,True,17.82222222,0.53,1016.71
468,76212,1.0,1.0,0.6286650886257119,True,17.75555556,0.56,1016.79
469,76211,1.0,1.0,0.6039526083875106,True,17.73333333,0.57,1016.98
470,26137,1.0,1.0,0.2660159626879204,True,15.88333333,0.7,1014.54
471,67963,1.0,1.0,0.48025972641172415,True,18.9,0.66,1016.59
472,6520,1.0,1.0,0.7822776473920734,True,17.80555556,0.5,1016.94
473,76013,1.0,1.0,0.620282543607119,True,18.79444444,0.58,1015.05
474,35106,1.0,1.0,1.0,True,16.08333333,0.34,1013.73
475,8495,1.0,1.0,0.39473993399790674,True,17.82777778,0.68,1013.47
476,61738,1.0,1.0,0.534847234175938,True,17.75555556,0.6,1015.09
477,49453,1.0,1.0,0.5534383698410409,True,15.03333333,0.56,1016.53
478,8493,1.0,1.0,0.509286202374508,True,18.56666667,0.63,1013.52
479,24874,1.0,1.0,0.6707998743804588,True,17.57222222,0.54,1013.13
480,61739,1.0,1.0,0.8166717398539286,True,19.73333333,0.51,1015.0
481,69930,1.0,1.0,0.766334458714621,True,16.01666667,0.49,1014.53
482,4387,1.0,1.0,0.44505498800992555,True,15.02222222,0.6,1016.74
483,69925,1.0,1.0,0.8211351577854902,True,17.24444444,0.48,1016.6
484,76068,1.0,1.0,1.0,True,18.72777778,0.38,1013.01
485,8482,1.0,1.0,0.5166987441163536,True,19.97222222,0.68,1016.87
486,14626,1.0,1.0,1.0,True,16.11111111,0.34,1013.42
487,57633,1.0,1.0,0.27368368370496676,True,15.02777778,0.67,1014.62
488,57635,1.0,1.0,0.4737181971511886,True,17.78888889,0.63,1014.53
489,4385,1.0,1.0,0.9592688375518331,True,17.28333333,0.43,1016.96
490,26995,1.0,1.0,0.6850488605922863,True,16.11111111,0.52,1013.6
491,61727,1.0,1.0,0.27817928924606716,True,15.13888889,0.67,1014.48
492,41247,1.0,1.0,0.5776345310186692,True,19.92777778,0.63,1016.23
493,31004,1.0,1.0,0.38220267648152184,True,17.34444444,0.67,1013.01
494,61724,1.0,1.0,0.5166581549899363,True,17.3,0.6,1014.19
495,61723,1.0,1.0,0.7753671062459019,True,19.90555556,0.53,1013.72
496,280,1.0,1.0,0.7009072950438159,True,17.72222222,0.53,1013.45
497,279,1.0,1.0,0.7512653661410224,True,17.67222222,0.51,1013.93
498,278,1.0,1.0,0.590185913426922,True,17.37222222,0.57,1014.32
499,53519,1.0,1.0,0.5124467264950028,True,17.15,0.6,1016.66
500,67844,1.0,1.0,0.487742346712926,True,18.76666667,0.65,1016.63
501,45310,1.0,1.0,0.4733588312843419,True,18.77777778,0.66,1015.94
502,69886,1.0,1.0,0.38605808874455927,True,17.10555556,0.66,1013.02
503,67833,1.0,1.0,0.6081756902248125,True,19.86111111,0.61,1016.23
504,53494,1.0,1.0,0.6604000728968871,True,17.22222222,0.54,1013.4
505,49456,1.0,1.0,0.9514271791813398,True,15.08333333,0.42,1015.84
506,69931,1.0,1.0,0.6250310202002307,True,15.85,0.54,1014.72
507,26923,1.0,1.0,1.0,True,20.0,0.37,1017.0
508,61748,1.0,1.0,0.42482883101342495,True,17.13888889,0.64,1014.11
509,14697,1.0,1.0,0.9415578429040369,True,19.76666667,0.46,1014.4
510,26986,1.0,1.0,0.5352701759321181,True,17.77777778,0.6,1014.2
511,14701,1.0,1.0,0.7977686219429405,True,19.17222222,0.51,1015.54
512,67949,1.0,1.0,0.34143768639120464,True,17.01666667,0.69,1016.91
513,26987,1.0,1.0,0.871071767187687,True,19.91111111,0.49,1014.27
514,14699,1.0,1.0,0.9687800721635883,True,19.81111111,0.45,1015.48
515,14698,1.0,1.0,0.8942123340818263,True,19.02777778,0.47,1015.25
516,26985,1.0,1.0,0.3904131810049481,True,15.0,0.62,1014.1
517,14696,1.0,1.0,0.734728177988357,True,18.76666667,0.53,1014.19
518,18790,1.0,1.0,0.5546006516152302,True,19.48888889,0.63,1014.28
519,355,1.0,1.0,0.47920789516635626,True,17.45,0.62,1014.78
520,354,1.0,1.0,0.5350691346443965,True,19.08888889,0.63,1014.68
521,87586,1.0,1.0,0.8733627337646067,True,19.95555556,0.49,1016.62
522,350,1.0,1.0,0.7792892659679596,True,19.98333333,0.53,1016.4
523,349,1.0,1.0,0.4020879483427066,True,17.91666667,0.68,1016.9
524,26972,1.0,1.0,0.7537829247199787,True,15.34444444,0.49,1013.24
525,26965,1.0,1.0,1.0,True,20.0,0.4,1016.2
526,26964,1.0,1.0,1.0,True,20.0,0.4,1016.9
527,8530,1.0,1.0,0.5492900104145966,True,19.70555556,0.64,1013.17
528,18770,1.0,1.0,0.4937815314035644,True,18.90555556,0.65,1014.86
529,14671,1.0,1.0,0.36769177457764757,True,17.30555556,0.68,1015.1
530,87583,1.0,1.0,0.4364696760298674,True,17.75555556,0.65,1015.63
531,26947,1.0,1.0,0.9959406613378514,True,18.88888889,0.43,1016.2
532,41275,1.0,1.0,0.6194860268171832,True,19.73888889,0.6,1013.08
533,76089,1.0,1.0,1.0,True,18.58888889,0.39,1013.1
534,76088,1.0,1.0,0.7967192635617409,True,16.16111111,0.48,1013.59
535,76087,1.0,1.0,0.7465939669424966,True,17.50555556,0.51,1013.72
536,13087,1.0,1.0,0.4251620185357452,True,17.85,0.66,1015.87
537,76085,1.0,1.0,0.6552576149132261,True,15.99444444,0.53,1014.0
538,44107,1.0,1.0,0.9285150518400901,True,17.17222222,0.44,1014.62
539,74837,1.0,1.0,0.6051028379737972,True,17.05555556,0.56,1015.05
540,74838,1.0,1.0,0.8622193874997197,True,18.81666667,0.48,1015.14
541,87688,1.0,1.0,0.9703613204095658,True,19.88333333,0.45,1013.45
542,85666,1.0,1.0,0.628560846226517,True,17.77222222,0.56,1015.45
543,34465,1.0,1.0,0.5374654555487873,True,18.33333333,0.61,1014.5
544,85664,1.0,1.0,0.6294488288322458,True,17.8,0.56,1015.33
545,30366,1.0,1.0,0.5162386449307373,True,20.0,0.68,1013.2
546,59038,1.0,1.0,0.4194204619093116,True,17.0,0.64,1015.27
547,59037,1.0,1.0,0.4661097166209276,True,17.61666667,0.63,1014.73
548,83609,1.0,1.0,0.7507461866312555,True,17.63888889,0.51,1015.05
549,34449,1.0,1.0,0.6920818851862295,True,20.0,0.57,1016.0
550,59024,1.0,1.0,0.5166297912065043,True,20.0,0.68,1014.0
551,83599,1.0,1.0,0.6672056206298642,True,18.84444444,0.56,1015.65
552,87689,1.0,1.0,0.7385864089828296,True,17.18888889,0.51,1014.9
553,34441,1.0,1.0,0.5816964751874909,True,17.77777778,0.58,1016.4
554,93832,1.0,1.0,0.6466673764408095,True,17.57222222,0.55,1015.6
555,34440,1.0,1.0,0.3505890425008322,True,16.66666667,0.67,1016.5
556,65157,1.0,1.0,0.3954711376028273,True,18.01111111,0.69,1015.75
557,75438,1.0,1.0,0.9637970775246194,True,15.99444444,0.42,1015.31
558,93823,1.0,1.0,0.8227695306383558,True,19.9,0.51,1015.67
559,75391,1.0,1.0,1.0,True,15.9,0.37,1013.36
560,93822,1.0,1.0,0.4591972805281087,True,17.86666667,0.64,1015.46
561,93821,1.0,1.0,0.34638684091197336,True,16.22777778,0.66,1015.46
